paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP09512	PTETEGNP13097	64.1941	0.0637107	64.5893	0	132.757	0.236489	150.03	0.17056	205.088	0.283386	218.954	0.229847	340.681	0.691261	247.733	0.395931	374.009	0.447414	233.92	0.245768	250.319	0.532229	275.327	0.306738	262.242	0.284066
PTETEGNP09513	PTETEGNP13098	4.19999	2.46119	3.36498	2.00706	3.56102	2.4397	3.54248	3.13592	3.78706	3.28117	3.92339	3.10932	4.76452	3.31985	5.11627	3.80309	4.76514	3.39145	5.36221	3.95819	5.42615	4.18594	5.20837	3.96499	4.78222	3.56234
PTETEGNP09514	PTETEGNP13099	0.339858	0.921421	0	0.349532	0.322076	1.5735	0.889625	0.811094	0.803928	1.28755	0.548115	0.993385	1.65904	0.677326	1.34525	1.38309	0.25998	2.05344	0.347233	1.8963	1.37038	1.28318	0	0.171083	0.725008	1.0383
PTETEGNP09515	PTETEGNP13101	1.06958	0	0.839929	0	1.47573	0.0947459	1.15953	0	1.80767	0.0540476	2.08613	0	1.28549	0.0822064	2.46786	0	1.46811	0.227327	1.93493	0	2.02959	0	1.42562	0	1.69792	0
PTETEGNP09517	PTETEGNP13102	0.446872	0.341725	0.411021	0.268745	0.698904	0.751652	1.17902	0.739089	0.891875	0.584836	0.495907	0.452785	0.666722	0.252894	0.612556	0.296997	0.545256	0.377485	0.447562	0.613326	1.05537	0.316612	0.907585	0.358813	0.586059	0.312565
PTETEGNP09518	PTETEGNP13103	0.795489	0.251888	0.55741	0.360947	1.40667	1.4812	1.11297	1.4456	1.99374	1.40062	1.69477	1.49564	3.513	0.860928	2.21478	1.45766	3.87943	0.752976	2.73166	0.848936	2.57446	0.839416	1.56238	1.02025	2.45347	0.713257
PTETEGNP09519	PTETEGNP13105	0.257864	2.38069	0.462686	2.99885	0.429162	3.42115	0.545963	4.66394	0.455144	2.35092	0.633925	4.72348	0.709999	3.30611	0.876549	6.08224	0.375903	2.9232	0.18686	4.44096	1.28061	8.16178	2.11467	14.4482	0.510334	4.21603
PTETEGNP09521	PTETEGNP13106	1.51109	7.23487	0.788325	7.34724	2.172	12.7177	1.8591	11.9476	2.46335	10.8348	2.25301	10.8313	2.8259	7.23226	2.62722	6.60977	3.26074	5.52608	3.68182	5.42259	4.02612	9.75196	3.92641	10.0599	3.62863	4.9623
PTETEGNP09522	PTETEGNP13107	4.04406	4.92806	5.04516	6.22187	5.9314	4.4614	6.77218	5.14128	5.89886	4.2062	7.10947	5.95702	8.4068	5.16094	13.4647	7.61812	9.06961	6.1487	14.8247	8.82723	12.537	9.62934	16.4904	10.8703	16.9123	8.2861
PTETEGNP09523	PTETEGNP13108	35.5222	47.7467	32.2516	40.4142	16.4624	20.9299	18.7589	22.1927	7.79746	12.0589	8.48572	12.7294	8.47749	11.5634	9.09616	12.217	7.69932	9.93278	7.22871	10.2864	19.2459	26.9623	21.7386	28.1112	8.37171	10.7826
